t,audio_clock,video_pts,av_delta_ms,vbuf,q2,q3,drift_ms,push2,push3,underruns,playing
0.0,10014720,10016640,40.0,39,94208,88064,128.0,0,0,0,1
0.2,10021888,10022400,10.7,48,96256,88064,170.7,0,0,0,1
0.41,10031104,10032000,18.7,43,87040,78848,170.7,0,0,0,1
0.61,10042368,10043520,24.0,49,98304,90112,170.7,0,0,0,1
0.81,10051584,10053120,32.0,44,90112,82944,149.3,0,0,0,1
1.02,10059776,10060800,21.3,52,104448,72704,661.3,0,0,0,1
1.22,10071040,10072320,26.7,46,93184,88064,106.7,0,0,0,1
1.42,10081280,10081920,13.3,51,101376,77824,490.7,0,0,0,1
1.62,10089472,10089600,2.7,49,97280,92160,106.7,0,0,0,1
1.83,10100736,10101120,8.0,53,102400,82944,405.3,0,0,0,1
2.03,10109952,10110720,16.0,50,98304,95232,64.0,0,0,0,1
2.23,10119168,10120320,24.0,47,92160,87040,106.7,0,0,0,1
2.44,10130432,10131840,29.3,51,100352,99328,21.3,0,0,0,1
2.64,10138624,10139520,18.7,48,92160,90112,42.7,0,0,0,1
2.84,10147840,10149120,26.7,54,104448,102400,42.7,0,0,0,1
3.05,10159104,10160640,32.0,48,94208,92160,42.7,0,0,0,1
3.25,10168320,10170240,40.0,55,109568,103424,128.0,0,0,0,1
3.45,10177536,10177920,8.0,51,100352,94208,128.0,0,0,0,1
3.66,10188800,10189440,13.3,57,114688,98304,341.3,0,0,0,1
3.86,10198016,10199040,21.3,52,105472,97280,170.7,0,0,0,1
4.06,10207232,10208640,29.3,59,117760,97280,426.7,0,0,0,1
4.27,10217472,10218240,16.0,54,107520,99328,170.7,0,0,0,1
4.47,10226688,10227840,24.0,61,122880,112640,213.3,0,0,0,1
4.67,10235904,10237440,32.0,56,113664,106496,149.3,0,0,0,1
4.88,10247168,10248960,37.3,62,125952,98304,576.0,0,0,0,1
5.08,10256384,10256640,5.3,58,115712,110592,106.7,0,0,0,1
5.28,10265600,10266240,13.3,58,117760,100352,362.7,0,0,0,1
5.48,10275840,10277760,40.0,59,118784,114688,85.3,0,0,0,1
5.69,10285056,10285440,8.0,59,113664,104448,192.0,0,0,0,1
5.89,10294272,10295040,16.0,62,119808,116736,64.0,0,0,0,1
6.09,10305536,10306560,21.3,59,115712,108544,149.3,0,0,0,1
6.3,10313728,10314240,10.7,64,124928,121856,64.0,0,0,0,1
