2026-08-19 15:32:30 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:32:30 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 15:32:32 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:32:32 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:32:32 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 15:32:33 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 15:32:33 | INFO     | MainThread           | Мониторинг Seek прикреплён к StreamController
2026-08-19 15:32:35 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 15:32:37 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 15:32:38 | INFO     | MainThread           | [STREAM SEEK] frame=24236 callback=True
2026-08-19 15:32:38 | INFO     | MainThread           | [PLAYBACK SEEK] frame=24236 gen_before=0
2026-08-19 15:32:38 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=24236
2026-08-19 15:32:38 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=1
2026-08-19 15:32:38 | INFO     | SeekWorker           | [SEEK START] generation=1 frame=24236
2026-08-19 15:32:38 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=1
2026-08-19 15:32:38 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 15:32:39 | INFO     | SeekWorker           | [ON SEEK COMPLETE] gen=1 window_start=20484
2026-08-19 15:32:39 | INFO     | SeekWorker           | [ON SEEK COMPLETE FINISHED]
2026-08-19 15:32:39 | INFO     | SeekWorker           | [SEEK END] generation=1 frame=24236
2026-08-19 15:32:39 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 24228, 'audio_clock': 46517760}
2026-08-19 15:32:41 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 24258, 'audio_clock': 46576128}
2026-08-19 15:32:42 | INFO     | MainThread           | [STREAM SEEK] frame=15597 callback=True
2026-08-19 15:32:42 | INFO     | MainThread           | [PLAYBACK SEEK] frame=15597 gen_before=1
2026-08-19 15:32:42 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=15597
2026-08-19 15:32:42 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=2
2026-08-19 15:32:42 | INFO     | SeekWorker           | [SEEK START] generation=2 frame=15597
2026-08-19 15:32:42 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=2
2026-08-19 15:32:42 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 15:32:42 | INFO     | SeekWorker           | [ON SEEK COMPLETE] gen=2 window_start=11844
2026-08-19 15:32:42 | INFO     | SeekWorker           | [ON SEEK COMPLETE FINISHED]
2026-08-19 15:32:42 | INFO     | SeekWorker           | [SEEK END] generation=2 frame=15597
2026-08-19 15:32:43 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 15593, 'audio_clock': 29938560}
2026-08-19 15:32:45 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 15639, 'audio_clock': 30027648}
2026-08-19 15:32:47 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 15690, 'audio_clock': 30124928}
2026-08-19 15:32:49 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 15740, 'audio_clock': 30222208}
2026-08-19 15:32:51 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 15789, 'audio_clock': 30316416}
2026-08-19 15:32:53 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 15841, 'audio_clock': 30415744}
2026-08-19 15:32:55 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 15891, 'audio_clock': 30510976}
2026-08-19 15:32:57 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 15941, 'audio_clock': 30608256}
2026-08-19 15:32:57 | INFO     | MainThread           | [STREAM SEEK] frame=7512 callback=True
2026-08-19 15:32:58 | INFO     | MainThread           | [PLAYBACK SEEK] frame=7512 gen_before=2
2026-08-19 15:32:58 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=7512
2026-08-19 15:32:58 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=3
2026-08-19 15:32:58 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=3
2026-08-19 15:32:58 | INFO     | SeekWorker           | [SEEK START] generation=3 frame=7512
2026-08-19 15:32:58 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 15:33:30 | WARNING  | MainThread           | Qt Warning: QProcess: Destroyed while process ("C:\\development\\ProxyPlayer\\ProxyPlayer_v2_master_clock\\venv\\Scripts\\python.exe") is still running.
2026-08-19 15:33:30 | WARNING  | MainThread           | Qt Warning: QProcess: Destroyed while process ("C:\\development\\ProxyPlayer\\ProxyPlayer_v2_master_clock\\venv\\Scripts\\python.exe") is still running.
2026-08-19 15:33:30 | INFO     | MainThread           | Процесс завершается. Активные потоки:
2026-08-19 15:33:30 | INFO     | MainThread           |   - MainThread (daemon=False, alive=False)
2026-08-19 15:39:11 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:39:11 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 15:39:19 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:39:19 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:39:19 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 15:39:20 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 15:39:20 | INFO     | MainThread           | Мониторинг Seek прикреплён к StreamController
2026-08-19 15:39:22 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 25472, 'audio_clock': 48906240}
2026-08-19 15:39:24 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 25472, 'audio_clock': 48906240}
2026-08-19 15:39:26 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 25472, 'audio_clock': 48906240}
2026-08-19 15:39:28 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 15:39:30 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 8, 'audio_clock': 16384}
2026-08-19 15:39:32 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 59, 'audio_clock': 114688}
2026-08-19 15:39:34 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 109, 'audio_clock': 210944}
2026-08-19 15:39:36 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 159, 'audio_clock': 306176}
2026-08-19 15:39:37 | INFO     | MainThread           | [STREAM SEEK] frame=25472 callback=True
2026-08-19 15:39:37 | INFO     | MainThread           | [PLAYBACK SEEK] frame=25472 gen_before=0
2026-08-19 15:39:37 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=25472
2026-08-19 15:39:37 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=1
2026-08-19 15:39:37 | INFO     | SeekWorker           | [SEEK START] generation=1 frame=25472
2026-08-19 15:39:37 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=1
2026-08-19 15:39:37 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 15:39:37 | INFO     | SeekWorker           | [ON SEEK COMPLETE] gen=1 window_start=21720
2026-08-19 15:39:37 | INFO     | SeekWorker           | [ON SEEK COMPLETE FINISHED]
2026-08-19 15:39:37 | INFO     | SeekWorker           | [SEEK END] generation=1 frame=25472
2026-08-19 15:39:38 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 188, 'audio_clock': 361472}
2026-08-19 15:39:40 | INFO     | MainThread           | [STREAM SEEK] frame=25472 callback=True
2026-08-19 15:39:40 | INFO     | MainThread           | [PLAYBACK SEEK] frame=25472 gen_before=1
2026-08-19 15:39:40 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=25472
2026-08-19 15:39:40 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=2
2026-08-19 15:39:40 | INFO     | SeekWorker           | [SEEK START] generation=2 frame=25472
2026-08-19 15:39:40 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=2
2026-08-19 15:39:40 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 15:39:40 | INFO     | SeekWorker           | [ON SEEK COMPLETE] gen=2 window_start=21720
2026-08-19 15:39:40 | INFO     | SeekWorker           | [ON SEEK COMPLETE FINISHED]
2026-08-19 15:39:40 | INFO     | SeekWorker           | [SEEK END] generation=2 frame=25472
2026-08-19 15:39:40 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 188, 'audio_clock': 361472}
2026-08-19 15:39:42 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 230, 'audio_clock': 442368}
2026-08-19 15:39:44 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 280, 'audio_clock': 538624}
2026-08-19 15:39:45 | INFO     | MainThread           | [STREAM CLOSE START]
2026-08-19 15:39:45 | INFO     | MainThread           | [SEEK CANCEL CALL]
2026-08-19 15:39:46 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': True, 'worker_alive': True, 'current_frame': 294, 'audio_clock': 566272}
2026-08-19 15:39:48 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': True, 'worker_alive': True, 'current_frame': 294, 'audio_clock': 566272}
2026-08-19 15:39:49 | INFO     | MainThread           | [STREAM CLOSE END]
2026-08-19 15:39:49 | INFO     | MainThread           | Процесс завершается. Активные потоки:
2026-08-19 15:39:49 | INFO     | MainThread           |   - MainThread (daemon=False, alive=False)
2026-08-19 15:39:49 | INFO     | MainThread           |   - SeekWorker (daemon=True, alive=True)
2026-08-19 15:39:49 | INFO     | MainThread           |   - SeekMonitorWatcher (daemon=True, alive=True)
2026-08-19 15:39:49 | INFO     | MainThread           |   - Dummy-3 (daemon=True, alive=True)
2026-08-19 15:39:49 | INFO     | MainThread           |   - Dummy-8 (daemon=True, alive=True)
2026-08-19 15:41:56 | INFO     | MainThread           | Процесс завершается. Активные потоки:
2026-08-19 15:41:56 | INFO     | MainThread           |   - MainThread (daemon=False, alive=False)
2026-08-19 15:42:00 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:42:00 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 15:42:05 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:42:05 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:42:05 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 15:42:06 | INFO     | MainThread           | Мониторинг Seek прикреплён к StreamController
2026-08-19 15:42:21 | INFO     | MainThread           | [STREAM SEEK] frame=0 callback=True
2026-08-19 15:42:21 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 15:42:24 | INFO     | MainThread           | [STREAM CLOSE START]
2026-08-19 15:42:24 | INFO     | MainThread           | [STREAM CLOSE END]
2026-08-19 15:42:24 | INFO     | MainThread           | Процесс завершается. Активные потоки:
2026-08-19 15:42:24 | INFO     | MainThread           |   - MainThread (daemon=False, alive=False)
2026-08-19 15:42:24 | INFO     | MainThread           |   - SeekMonitorWatcher (daemon=True, alive=True)
2026-08-19 15:42:42 | INFO     | MainThread           | Процесс завершается. Активные потоки:
2026-08-19 15:42:42 | INFO     | MainThread           |   - MainThread (daemon=False, alive=False)
2026-08-19 15:45:57 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:45:57 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 15:46:00 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:46:00 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 15:46:00 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 15:46:00 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 15:46:00 | INFO     | MainThread           | Мониторинг Seek прикреплён к StreamController
2026-08-19 15:46:02 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 15:46:04 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 1, 'audio_clock': 2048}
2026-08-19 15:46:06 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 50, 'audio_clock': 96256}
2026-08-19 15:46:08 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 101, 'audio_clock': 194560}
2026-08-19 15:46:10 | INFO     | MainThread           | [STREAM SEEK] frame=44456 callback=True
2026-08-19 15:46:10 | INFO     | MainThread           | [PLAYBACK SEEK] frame=44456 gen_before=0
2026-08-19 15:46:10 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=44456
2026-08-19 15:46:10 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=1
2026-08-19 15:46:10 | INFO     | SeekWorker           | [SEEK START] generation=1 frame=44456
2026-08-19 15:46:10 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=1
2026-08-19 15:46:10 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 15:46:10 | INFO     | SeekWorker           | [ON SEEK COMPLETE] gen=1 window_start=40704
2026-08-19 15:46:10 | INFO     | SeekWorker           | [ON SEEK COMPLETE FINISHED]
2026-08-19 15:46:10 | INFO     | SeekWorker           | [SEEK END] generation=1 frame=44456
2026-08-19 15:46:10 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 44442, 'audio_clock': 85328640}
2026-08-19 15:46:12 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 44482, 'audio_clock': 85405440}
2026-08-19 15:46:13 | INFO     | MainThread           | [STREAM SEEK] frame=25818 callback=True
2026-08-19 15:46:13 | INFO     | MainThread           | [PLAYBACK SEEK] frame=25818 gen_before=1
2026-08-19 15:46:13 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=25818
2026-08-19 15:46:13 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=2
2026-08-19 15:46:13 | INFO     | SeekWorker           | [SEEK START] generation=2 frame=25818
2026-08-19 15:46:13 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=2
2026-08-19 15:46:13 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 15:46:31 | WARNING  | MainThread           | Qt Warning: QProcess: Destroyed while process ("C:\\development\\ProxyPlayer\\ProxyPlayer_v2_master_clock\\venv\\Scripts\\python.exe") is still running.
2026-08-19 15:46:31 | WARNING  | MainThread           | Qt Warning: QProcess: Destroyed while process ("C:\\development\\ProxyPlayer\\ProxyPlayer_v2_master_clock\\venv\\Scripts\\python.exe") is still running.
2026-08-19 15:46:31 | INFO     | MainThread           | Процесс завершается. Активные потоки:
2026-08-19 15:46:31 | INFO     | MainThread           |   - MainThread (daemon=False, alive=False)
2026-08-19 16:07:33 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 16:07:33 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 16:07:39 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 16:07:39 | INFO     | MainThread           | Qt message handler установлен
2026-08-19 16:07:39 | INFO     | MainThread           | Мониторинг Seek включён (ожидание объектов)
2026-08-19 16:07:40 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 16:07:40 | INFO     | MainThread           | Мониторинг Seek прикреплён к StreamController
2026-08-19 16:07:42 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 44996, 'audio_clock': 86392320}
2026-08-19 16:07:44 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 44996, 'audio_clock': 86392320}
2026-08-19 16:07:46 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 44996, 'audio_clock': 86392320}
2026-08-19 16:07:48 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 0, 'audio_clock': 0}
2026-08-19 16:07:50 | INFO     | MainThread           | [STREAM SEEK] frame=44996 callback=True
2026-08-19 16:07:50 | INFO     | MainThread           | [PLAYBACK SEEK] frame=44996 gen_before=0
2026-08-19 16:07:50 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 35, 'audio_clock': 67584}
2026-08-19 16:07:50 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=44996
2026-08-19 16:07:50 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=1
2026-08-19 16:07:50 | INFO     | SeekWorker           | [SEEK START] generation=1 frame=44996
2026-08-19 16:07:50 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=1
2026-08-19 16:07:50 | INFO     | MainThread           | [STREAM SEEK RETURNED]
2026-08-19 16:07:51 | INFO     | SeekWorker           | [ON SEEK COMPLETE] gen=1 window_start=41244
2026-08-19 16:07:51 | INFO     | SeekWorker           | [ON SEEK COMPLETE FINISHED]
2026-08-19 16:07:51 | INFO     | SeekWorker           | [SEEK END] generation=1 frame=44996
2026-08-19 16:07:51 | INFO     | MainThread           | [STREAM SEEK] frame=44996 callback=True
2026-08-19 16:07:51 | INFO     | MainThread           | [PLAYBACK SEEK] frame=44996 gen_before=1
2026-08-19 16:07:51 | INFO     | MainThread           | [SEEK ASYNC CALL] frame=44996
2026-08-19 16:07:51 | INFO     | MainThread           | [SEEK REQUEST CREATED] generation=2
2026-08-19 16:07:51 | INFO     | SeekWorker           | [SEEK START] generation=2 frame=44996
2026-08-19 16:07:51 | INFO     | MainThread           | [PLAYBACK SEEK RETURNED] gen_after=2
2026-08-19 16:07:51 | INFO     | MainThread           | [STREAM SEEK RETURNED]
